code,icao,name,latitude,longitude,elevation,time_zone,city,state,country
QSC,SDSC,Sao Carlos,-21.8730674,-47.902758209316,2637,America/Sao_Paulo,Ibate,Sao Paulo,BR
REZ,SDRS,Resende,-22.47720015,-44.4771687179696,1315,America/Sao_Paulo,Resende,Rio de Janeiro,BR
PNB,SDPE,Porto Nacional,-10.71799955,-48.3991106520526,810,America/Araguaina,Palmas,Tocantins,BR
OIA,SDOW,Ourilandia,-6.76392515,-51.0470967511553,856,America/Belem,N/A,N/A,BR
OUS,SDOU,Ourinhos,-22.966458,-49.9131538475462,1528,America/Sao_Paulo,Ourinhos,Sao Paulo,BR
JLS,SDJL,Jales,-20.166668,-50.55,1532,America/Sao_Paulo,Jales,Sao Paulo,BR
FEC,SDIY,Feira De Santana,-12.2001342,-38.9084180940516,761,America/Bahia,Feira de Santana,Bahia,BR
JTN,SDIM,Antônio Ribeiro Nogueira Jr. State Airport,-24.164722,-46.785556,10,America/Sao_Paulo,Itanhaém,N/A,BR
SOD,SDCO,Sorocaba,-23.4777055,-47.4901464193036,2070,America/Sao_Paulo,Sorocaba,Sao Paulo,BR
OLC,SDCG,Sen. Eunice Micheles,-3.470869,-68.95853,255,America/Manaus,Sao Paulo de Olivenca,Amazonas,BR
GDR,SDAG,Angra dos Reis Airport,-22.975278,-44.307222,22,America/Sao_Paulo,Angra dos Reis,N/A,BR
KNA,SCVM,Vina del Mar,-33.033333,-71.566666,461,America/Santiago,Vina del Mar,Valparaiso,CL
ZAL,SCVD,Pichoy Airport,-39.791668,-73.23944,59,America/Santiago,Valdivia,Los Rios,CL
TTC,SCTT,Taltal,-25.517778,-70.42222,2580,America/Santiago,Taltal,Antofagasta,CL
ZIC,SCTO,Victoria,-38.2441698,-72.3474842653488,1148,America/Santiago,Victoria,Araucania,CL
WCH,SCTN,Chaiten,-42.916668,-72.71667,0,America/Santiago,Chaiten,Los Lagos,CL
TLX,SCTL,Talca,-35.466667,-71.666664,371,America/Santiago,Talca,Maule,CL
PMC,SCTE,El Tepual Airport,-41.4435617,-73.094504676948,305,America/Santiago,Puerto Montt,Los Lagos,CL
PZS,SCTC,Temuco Maquehue Airport,-38.7670058,-72.6284124301851,278,America/Santiago,N/A,N/A,CL
WCA,SCST,Gamboa,-42.5,-73.833336,1404,America/Santiago,Castro,Los Lagos,CL
SSD,SCSF,San Felipe,1.9133422,-67.0772208,269,America/Bogota,San Carlos de Rio Negro,Amazonas,CO
LSC,SCSE,La Florida Airport,-29.91554595,-71.2019442433357,469,America/Santiago,La Serena,Coquimbo,CL
SMB,SCSB,Cerro Sombrero,-52.738335,-69.34278,85,America/Santiago,Rio Gallegos,Santa Cruz,CL
TNM,SCRM,Teniente R. Marsh Martin,-62.190556,-58.98639,147,America/Santiago,Stanley,N/A,AQ
VAP,SCRD,Valparaiso,-33.033333,-71.666664,0,America/Santiago,Valparaiso,Valparaiso,CL
CNR,SCRA,Chanaral,-26.33254,-70.6073399751183,104,America/Santiago,N/A,N/A,CL
ZCO,SCQP,La Araucanía International Airport,-38.925,-72.651389,333,America/Santiago,Temuco,Araucania,CL
PUX,SCPV,Puerto Varas,-40.34028,-72.94444,187,America/Santiago,Rio Bueno,Los Rios,CL
MHC,SCPQ,Mocopulli Airport,-42.341692,-73.7158534412452,544,America/Santiago,N/A,N/A,CL
ZPC,SCPC,Pucon,-39.76389,-71.63333,853,America/Santiago,San Martin de los Andes,Neuquen,CL
OVL,SCOV,Ovalle,-30.566668,-71,2532,America/Santiago,Monte Patria,Coquimbo,CL
PNT,SCNT,Teniente J. Gallardo,-51.683334,-72.51667,209,America/Santiago,Puerto Natales,Magallanes,CL
VLR,SCLL,Vallenar,-28.596016,-70.7550824085929,1771,America/Santiago,Vallenar,Atacama,CL
CPP,SCKP,Coposa Airport,-20.75,-68.683333,12391,America/Santiago,N/A,N/A,CL
ZOS,SCJO,Canal Bajo Airport,-40.6045516,-73.0610391488569,187,America/Santiago,Osorno,Los Lagos,CL
IPC,SCIP,Mataveri International Airport,-27.116667,-109.36667,757,Pacific/Easter,Ostrov Paskhi,N/A,CL
CCP,SCIE,Carriel Sur Airport,-36.77378175,-73.0600686383959,22,America/Santiago,Concepcion,Biobio,CL
LGR,SCHR,Cochrane,-47.166668,-72,643,America/Santiago,Cochrane,Aisen,CL
WPU,SCGZ,Puerto Williams,-54.95,-68.25,1381,America/Santiago,Ushuaia,Tierra del Fuego,CL
LSQ,SCGE,Los Angeles,-37.3975,-72.422775,416,America/Santiago,Los Angeles,Biobio,CL
UGL,SCGC,Union Glacier Blue-Ice Runway,-79.777778,-83.320833,2461,Antarctica/South_Pole,N/A,N/A,AQ
FFU,SCFT,Futaleufu,-43.1889648,-71.8503164884812,1125,America/Santiago,Futaleufu,Los Lagos,CL
WPR,SCFM,Porvenir,-53.25,-70.333336,39,America/Santiago,Punta Arenas,Magallanes,CL
ANF,SCFA,Cerro Moreno International Airport,-23.4523757,-70.4397343435275,347,America/Santiago,Antofagasta,Antofagasta,CL
FRT,SCEV,Frutillar,-41.129892,-73.0641723301393,479,America/Santiago,Frutillar,Los Lagos,CL
ESR,SCES,El Salvador,-26.315277,-69.76528,5127,America/Santiago,Diego de Almagro,Atacama,CL
SCL,SCEL,Arturo Merino Benitez Airport,-33.397175,-70.79382,1610,America/Santiago,N/A,N/A,CL
IQQ,SCDA,Diego Aracena International Airport,-20.547937,-70.17848,219,America/Santiago,Iquique,Tarapaca,CL
GXQ,SCCY,Ten. Vidal,-45.58889,-72.09861,984,America/Santiago,Coihaique,Aisen,CL
COW,SCCQ,Coquimbo,-32.8,-70.63333,2486,America/Santiago,Los Andes,Valparaiso,CL
PUQ,SCCI,Pres Ibanez Airport,-53.005356,-70.84307,65,America/Santiago,N/A,N/A,CL
YAI,SCCH,Chillan,-36.6,-72.11667,367,America/Santiago,Chillan,Biobio,CL
CJC,SCCF,El Loa Airport,-22.495085,-68.90843,7493,America/Santiago,Calama,Antofagasta,CL
CCH,SCCC,Chile Chico,-46.5823172,-71.6890356206591,1000,America/Santiago,Chile Chico,Aisen,CL
DPB,SCBI,Pampa Guanaco Airport,-54.05,-68.808333,505,America/Santiago,N/A,N/A,CL
TOQ,SCBE,Barriles,-22.14378115,-70.0597018108179,3475,America/Santiago,Tocopilla,Antofagasta,CL
BBA,SCBA,Teniente Vidal Airport,-45.916668,-71.695,1696,America/Santiago,N/A,N/A,CL
CPO,SCAT,Chamonate Airport,-27.29892,-70.414406,994,America/Santiago,Copiapo,Atacama,CL
WPA,SCAS,Puerto Aisen,-45.4,-72.7,19,America/Santiago,Puerto Aisen,Aisen,CL
ARI,SCAR,Chacalluta Airport,-18.3527842,-70.3412184426326,127,America/Santiago,Arica,Arica y Parinacota,CL
WAP,SCAP,Alto Palena,-43.611506,-71.8056995343969,813,America/Santiago,Palena,Los Lagos,CL
LOB,SCAN,Los Andes,-29.966667,-71.53333,0,America/Santiago,Coquimbo,Coquimbo,CL
ZUD,SCAC,Ancud,-42,-73.833336,315,America/Santiago,Ancud,Los Lagos,CL
IZA,SBZM,Zona da Mata Regional Airport,-21.513056,-43.173058,1318,America/Sao_Paulo,Rio Novo,Minas Gerais,BR
VIX,SBVT,Eurico de Aguiar Salles Airport,-20.25609295,-40.2813571819259,49,America/Sao_Paulo,Vila Velha,Espirito Santo,BR
BVH,SBVH,Vilhena Airport,-12.6940825,-60.0987539725512,1922,America/Porto_Velho,N/A,N/A,BR
VAG,SBVG,Major-Brigadeiro Trompowsky Airport,-21.55,-45.433334,2870,America/Sao_Paulo,Varginha,Minas Gerais,BR
VDC,SBVC,Vitoria Da Conquista Airport,-14.86450825,-40.8627886131865,2916,America/Bahia,Vitoria da Conquista,Bahia,BR
UBA,SBUR,Uberaba Airport,-19.776388,-47.958332,2655,America/Sao_Paulo,Uberaba,Minas Gerais,BR
UDI,SBUL,Uberlandia-Ten. Cel. Av. Cesar Bombonato Airport,-18.9,-48.233334,3094,America/Sao_Paulo,Uberlandia,Minas Gerais,BR
URG,SBUG,Ruben Berta Airport,-29.781668,-57.038334,256,America/Sao_Paulo,Uruguaiana,Rio Grande do Sul,BR
PAV,SBUF,Paulo Afonso Airport,-9.4005831,-38.2500260898887,856,America/Bahia,Paulo Afonso,Bahia,BR
SJL,SBUA,Da Cachoeira,-0.1483109,-66.9855727527965,239,America/Manaus,Sao Gabriel da Cachoeira,Amazonas,BR
